LBRRY_CD,LBRRY_NM,LBRRY_ADDR,LBRRY_LA,LBRRY_LO,ONE_AREA_NM,TWO_AREA_NM,LBRRY_NO,API_LBRRY_NO,TEL_NO,FAX_NO,HMPG_VALUE,OPNNG_TIME,CLOSEDON_DC,LBRRY_TY_CD,LBRRY_TY_NM,FOND_MBY_VALUE,OPNNG_YEAR,ZIP_NO,X_CRDNT_VALUE,Y_CRDNT_VALUE,MUMM_LON_YEAR,BSNS_PARTCPTN_YEAR,MASTR_LBRRY_CD,LBRRY_NCM_NM,ETC_LBRRY_CD,AREA_CD,ETC_LBRRY_ADDR,ETC_LBRRY_NM,TWO_ETC_LBRRY_NM,REPRSNT_AT,ONE_AREA_CD,TWO_AREA_CD,WETHR_AREA_CD
1700,원주시립중앙도서관,강원도 원주시 서원대로 472-12,37.340307,127.93585,강원도,원주시,142015,142015,033-737-4360,033-737-4842,http://lib.wonju.go.kr/,"[자료실] 09:00~18:00 (종합자료실, 어린이자료실은 평일 09:00~22:00 연장), [열람실] 07:00~22:00","매월 마지막주 월요일(그외 월요일은 자료실만 휴관) / 법정공휴일, 관장이 특별히 지정 공고하는 날",1,공공,지자체,1968,26487,1038606.80670007,1926898.87000308,1968,2015,1700,중앙,MA,8,강원도 원주시 단구동 990,원주시립도서관,원주시립도서관,Y,강원도,원주시,원주
1701,원주시립태장도서관,강원도 원주시 양지로 46,37.3536617,127.9431874,강원도,원주시,142118,142118,033-737-2828,033-737-4851,https://lib.wonju.go.kr/mrn,"일반자료실 평일 09:00~22:00, 주말 09:00~18:00 / 어린이자료실 평일,주말 09:00~18:00",매주 금요일 / 법정공휴일,1,공공,지자체,,26464,1039249.79146628,1928383.47310181,,2022,1700,태장,MB,8,,,,N,강원도,원주시,원주
1800,포항시립대잠도서관,경상북도 포항시 남구 시청로 1,36.0191816,129.3432983,경상북도,포항시 남구,147061,147061,054-270-5680(종,054-270-5874,http://phlib.pohang.go.kr/,09:00~18:00,"매월 첫째주, 셋째주 월요일 / 일요일을 제외한 법정공휴일, 법정공휴일과 겹친 일요일",1,공공,지자체,2007,37683,1166100.767596391029656,1781832.48321431,2007,2015,1800,대잠,MA,11,경상북도 포항시 남구 대잠동 1001,포항시립대잠도서관,포항시립대잠도서관,Y,경상북도,포항시 남구,포항
1802,포항시립영암도서관,경상북도 포항시 남구 상공로 46번길 11,36.0127761,129.357763,경상북도,포항시 남구,147037,147037,054-270-5685,054-275-3689,http://phlib.pohang.go.kr/,9시~18시(열람실 포함),"매월 둘째주, 넷째주 월요일 / 일요일을 제외한 법정공휴일, 법정공휴일과 겹친 일요일",1,공공,지자체,1987,37830,1167417.8848636,1781146.66873638,1987,2015,1800,영암,MC,11,경상북도 포항시 남구 대도동 632-11,포항시립영암도서관,영암도서관,N,경상북도,포항시 남구,포항
1803,포항시립포은중앙도서관,경상북도 포항시 북구 삼호로 31,36.0437354,129.3673931,경상북도,포항시 북구,147059,147059,054-270-4600,054-241-0494,http://phlib.pohang.go.kr/,09:00~22:00(주말 ~18:00),"매월 첫째주, 셋째주 월요일 / 토요일, 일요일을 제외한 법정공휴일",1,공공,지자체,2007,37727,1168219.96356328506954,1784597.68611178,2007,2015,1800,포은,MD,11,경상북도 포항시 남구 대잠동 1001,포항시립대잠도서관(원),대잠도서관(원),N,경상북도,포항시 북구,포항
1804,포항시립오천공공도서관,경상북도 포항시 남구 오천읍 정몽주로 566,35.9686415,129.416446,경상북도,포항시 남구,147036,147036,054-270-5692,054-292-2523,http://phlib.pohang.go.kr/,09:00 ~ 18:00,"매월 첫째주, 셋째주 월요일 / 토요일, 일요일을 제외한 법정공휴일",1,공공,지자체,1999,37907,1172803.1563789,1776353.11027766,1999,2015,1800,오천,ME,11,경상북도 포항시 남구 오천읍 용덕리 263-1,포항시립오천공공도서관,오천도서관,N,경상북도,포항시 남구,포항
1805,포항시립동해석곡도서관,경상북도 포항시 남구 동해면 일월로41번길 19,35.9908951,129.437424,경상북도,포항시 남구,147073,147073,054-270-4625,054-272-3596,http://phlib.pohang.go.kr/,-,"매월 둘째, 넷째 월요일 / 토요일, 일요일을 제외한 법정공휴일",1,공공,지자체,2009,37925,1174645.87484662,1778859.17508123,2009,2015,1800,동해석곡,MF,11,경상북도 포항시 남구 동해면 도구리 602-15,동해석곡도서관,동해석곡도서관,N,경상북도,포항시 남구,포항
1808,해도동 바다섬작은도서관,경상북도 포항시 남구 중앙로68번길 7,36.0194979,129.370468,경상북도,포항시 남구,147071,147071,054-282-9896,-,http://phlib.pohang.go.kr/,평일 10:00 ~ 17:00,"매주 월요일, 일요일 / 법정공휴일",2,작은,공립,2009,37809,1168548.64105049,1781914.25269939,2009,2015,1800,바다섬작은,NC,11,경상북도 포항시 남구 해도동 69-19,해도 바다섬 작은도서관,해도동바다섬작은도서관,N,경상북도,포항시 남구,포항
1809,양학동 부학작은도서관,"경상북도 포항시 북구 양학로 22, 2층",36.02547,129.35056,경상북도,포항시 북구,147069,147069,070-5173-6036,-,http://phlib.pohang.go.kr/,-,"매주 월요일, 일요일 / 법정공휴일",2,작은,공립,2009,37700,1166741.93940912,1782542.48407965,2009,2015,1800,부학작은,ND,11,경상북도 포항시 북구 득량동 2-1,양학 부학 작은도서관,양학동부학작은도서관,N,경상북도,포항시 북구,포항
1810,신광면 비학산작은도서관,경상북도 포항시 북구 신광면 토성길25번길 10-5,36.1298718,129.261625,경상북도,포항시 북구,147070,147070,054-241-0302,-,http://phlib.pohang.go.kr/,-,"매주 월요일, 일요일 / 법정공휴일",2,작은,공립,2009,37522,1158518.01963507,1793975.38282725,2009,2015,1800,비학산작은,NE,11,경상북도 포항시 북구 신광면 토성리 337,신광 비학산 작은도서관,신광면비학산작은도서관,N,경상북도,포항시 북구,포항
1811,두호동 두무치작은도서관,경상북도  포항시 북구 삼호로203번길 22,36.0574535,129.374743,경상북도,포항시 북구,147072,147072,054-246-0300,-,http://phlib.pohang.go.kr/,-,"매주 월요일, 일요일 / 법정공휴일",2,작은,공립,2009,37711,1168852.82182214,1786132.21757048,2009,2015,1800,두무치작은,NF,11,경상북도 포항시 북구 두호동 1045-6,두호 두무치 작은도서관,두호동두무치작은도서관,N,경상북도,포항시 북구,포항
1812,청림동 푸른숲작은도서관,"경상북도 포항시 남구 동해안로 6001, 청림마을 독서실 2층",35.9926071,129.410481,경상북도,포항시 남구,147087,147087,054-292-0129,-,http://phlib.pohang.go.kr/,-,"매주 월요일, 일요일 / 법정공휴일",2,작은,공립,2009,37896,1172213.13706615,1779001.14339668,2009,2015,1800,푸른숲작은,NG,11,경상북도 포항시 남구 청림동 90 청림마을독서실 2층,청림동 푸른숲작은도서관,청림동푸른숲작은도서관,N,경상북도,포항시 남구,포항
1813,효곡동 행복작은도서관,경상북도 포항시 남구 새천년대로 306,36.0061655,129.332913,경상북도,포항시 남구,147086,147086,070-7779-5400,-,http://phlib.pohang.go.kr/,10:00~17:00(12:00~13:00점심시간),"매주 월요일, 일요일 / 법정공휴일",2,작은,공립,2009,37837,1165192.01021169,1780370.91168363,2009,2015,1800,행복작은,NH,11,경상북도 포항시 남구 효자동 566,효곡동 행복작은도서관,효곡동행복작은도서관,N,경상북도,포항시 남구,포항
1814,오천읍 해와달작은도서관,"경상북도 포항시 남구 오천읍 철강로 685, 준양참마을 관리실 2층",35.96402,129.4016,경상북도,포항시 남구,147085,147085,054-291-0700,-,http://phlib.pohang.go.kr/,-,"매주 월요일, 일요일 / 법정공휴일",2,작은,공립,2009,37883,1171474.35675856,1775814.22356037,2009,2015,1800,해와달작은,NJ,11,경상북도 포항시 남구 오천읍 문덕리 176-2 준양참마을 관리실2층,오천읍 해와달작은도서관,오천읍해와달작은도서관,N,경상북도,포항시 남구,포항
1815,장량동 참사랑작은도서관,경상북도 포항시 북구 침촌로 20,36.0825892,129.3775857,경상북도,포항시 북구,147084,147084,054-255-0022,-,http://phlib.pohang.go.kr/,-,"매주 월요일, 일요일 / 법정공휴일",2,작은,공립,2009,37578,1169055.07318434,1788925.56798606,2009,2015,1800,참사랑작은,NK,11,경상북도 포항시 북구 장성동 1578-1,장량동 참사랑작은도서관,장량동참사랑작은도서관,N,경상북도,포항시 북구,포항
1816,상대동 큰섬마을작은도서관,경상북도 포항시 남구 대해로91번길 22,36.0233368,129.364019,경상북도,포항시 남구,147101,147101,054-283-0030,-,http://phlib.pohang.go.kr/,-,"매주 월요일, 일요일 / 법정공휴일",2,작은,공립,2009,37779,1167959.30446331,1782328.97224123,2009,2015,1800,큰섬마을작은,NL,11,경상북도 포항시 남구 대도동 54-2,상대큰섬마을 작은도서관,상대동큰섬마을작은도서관,N,경상북도,포항시 남구,포항
1817,연일읍 미르작은도서관,"경상북도 포항시 남구 연일읍 유강길10번길 49, 코아루1단지아파트",36.00766,129.32019,경상북도,포항시 남구,147100,147100,070-7704-7744,-,http://phlib.pohang.go.kr/,-,"매주 토요일, 일요일 / 법정공휴일",2,작은,공립,2009,37655,1164042.12690049,1780515.20058758,2009,2015,1800,미르작은,NM,11,경상북도 포항시 남구 연일읍 유강리 593-2,연일미르 작은도서관,연일읍미르작은도서관,N,경상북도,포항시 남구,포항
1818,대송면 큰솔작은도서관,경상북도 포항시 남구 대송면 운제로 111,35.97817,129.36225,경상북도,포항시 남구,147102,147102,054-286-7474,-,http://phlib.pohang.go.kr/,-,"매주 월요일, 일요일 / 법정공휴일",2,작은,공립,2009,37870,1167895.64765309,1777315.43866778,2009,2015,1800,큰솔작은,NN,11,경상북도 포항시 남구 대송면 제내리 630-3,대송큰솔 작은도서관,대송면큰솔작은도서관,N,경상북도,포항시 남구,포항
1819,죽도동 청암작은도서관,경상북도 포항시 북구 죽도로 82-2,36.03312,129.36951,경상북도,포항시 북구,147104,147104,070-4125-3081,-,http://phlib.pohang.go.kr/,-,"매주 토요일, 일요일 / 법정공휴일",2,작은,공립,2010,37785,1168433.2949046,1783423.74176327,2010,2015,1800,청암작은,NP,11,경상북도 포항시 북구 죽도동 20-76,죽도청암 작은도서관,죽도동청암작은도서관,N,경상북도,포항시 북구,포항
1820,효곡동 그린숲작은도서관,경상북도 포항시 남구 지곡로278번길 2,36.0297139,129.32309,경상북도,포항시 남구,147110,147110,054-221-4924,-,http://phlib.pohang.go.kr/,-,"매주 월요일, 일요일 / 법정공휴일",2,작은,공립,2010,37667,1164257.72073964,1782966.5806532,2010,2015,1800,그린숲작은,NQ,11,경상북도 포항시 남구 지곡동 479,효곡동그린숲작은도서관,효곡동그린숲작은도서관,N,경상북도,포항시 남구,포항
1821,송도동 솔향작은도서관,"경상북도 포항시 남구 서동로 162, 태왕아너스 관리소 2층",36.0389457,129.376003,경상북도,포항시 남구,147109,147109,054-246-6688,-,http://phlib.pohang.go.kr/,-,"매주 월요일, 일요일 / 법정공휴일",2,작은,공립,2010,37731,1169005.89284007,1784081.26160372,2010,2015,1800,솔향작은,NS,11,경상북도 포항시 남구 송도동 254-70 태왕아너스관리소2층,송도솔향작은도서관,송도동솔향작은도서관,N,경상북도,포항시 남구,포항
1822,오천읍 그루터기작은도서관,경상북도 포항시 남구 오천읍 정몽주로 481,35.96289,129.4115,경상북도,포항시 남구,147112,147112,054-292-4488,-,http://phlib.pohang.go.kr/,-,"매주 월요일, 일요일 / 법정공휴일",2,작은,공립,2010,37915,1172369.63692616,1775706.32301527,2010,2015,1800,그루터기작은,NT,11,경상북도 포항시 남구 오천읍 문덕리 10,오천읍그루터기작은도서관,오천읍그루터기작은도서관,N,경상북도,포항시 남구,포항
1823,환여동 해맞이꿈터작은도서관,경상북도 포항시 북구 삼호로 391,36.0699147,129.39142,경상북도,포항시 북구,147111,147111,054-251-5577,-,http://phlib.pohang.go.kr/,-,"매주 월요일, 일요일 / 법정공휴일",2,작은,공립,2010,37604,1170328.16645033,1787543.66533669,2010,2015,1800,해맞이꿈터작은,NU,11,경상북도 포항시 북구 환호동 409-1,환여동해맞이꿈터작은도서관,환여동해맞이꿈터작은도서관,N,경상북도,포항시 북구,포항
1824,기계면 버드내작은도서관,경상북도 포항시 북구 기계면 기계로 94,36.0704002,129.20648,경상북도,포항시 북구,147108,147108,054-243-6565,-,http://phlib.pohang.go.kr/,-,"매주 월요일, 일요일 / 법정공휴일",2,작은,공립,2010,37528,1153671.20200171,1787289.51630355,2010,2015,1800,버드내작은,NV,11,경상북도 포항시 북구 기계면 현내리 349-2,기계면버드내작은도서관,기계면버드내작은도서관,N,경상북도,포항시 북구,포항
1825,환여동 환호어린이작은도서관,경상북도 포항시 북구 환호공원길 30,36.0677253,129.393047,경상북도,포항시 북구,147122,147122,054-251-5578,-,http://phlib.pohang.go.kr/,-,"매주 월요일, 일요일 / 법정공휴일",2,작은,공립,2011,37600,1170479.4256249,1787303.63538464,2011,2015,1800,환호어린이작은,NW,11,경상북도 포항시 북구 환호동,환호어린이작은도서관,환호동어린이작은도서관,N,경상북도,포항시 북구,포항
1826,청림동 찬내작은도서관,경상북도 포항시 남구 정몽주로879번길 9-1,35.99286,129.40438,경상북도,포항시 남구,147123,147123,054-291-6454,-,http://phlib.pohang.go.kr/,-,"매주 월요일, 일요일 / 법정공휴일",2,작은,공립,2011,37899,1171662.57384384,1779018.43375043,2011,2015,1800,찬내작은,NX,11,경상북도 포항시 남구 청림동 1177-12,청림동찬내작은도서관,청림동찬내작은도서관,N,경상북도,포항시 남구,포항
1827,죽도동 맑은물작은도서관,"경상북도 포항시 북구 죽도로 30, 빗물펌프장 1층",36.03302,129.36473,경상북도,포항시 북구,147124,147124,054-278-3081,-,http://phlib.pohang.go.kr/,-,"매주 월요일, 일요일 / 법정공휴일",2,작은,공립,2011,37743,1168002.80651042,1783404.38909265,2011,2015,1800,맑은물작은,NY,11,경상북도 포항시 북구 죽도동 45-1,죽도동맑은물작은도서관,죽도동맑은물작은도서관,N,경상북도,포항시 북구,포항
1828,구룡포 미르아라작은도서관,경상북도 포항시 남구 구룡포읍 구룡포길65번길 7,35.9911577,129.552533,경상북도,포항시 남구,147125,147125,054-276-4122,-,http://phlib.pohang.go.kr/,-,매주 일요일 / 법정공휴일,2,작은,공립,2011,37932,1185022.91718464,1779100.73702748,2011,2015,1800,미르아라작은,NZ,11,경상북도 포항시 남구 구룡포읍 구룡포리 730-3,구룡포미르아라작은도서관,구룡포읍미르아라작은도서관,N,경상북도,포항시 남구,포항
1829,근로종합복지회관작은도서관,경상북도 포항시 남구 철강로 388,35.9772867,129.379979,경상북도,포항시 남구,147121,147121,054-270-4771,-,-,-,-,2,작은,-,-,37871,1169496.11632356,1777248.13189395,2011,2015,1800,근로종합복지회관작은,PA,11,경상북도 포항시 남구 호동 628,근로종합복지회관작은도서관,근로종합복지회관작은도서관,N,경상북도,포항시 남구,포항
1830,청하면 해아작은도서관,경상북도 포항시 북구 청하면 청하로 247,36.2014522,129.340444,경상북도,포항시 북구,147135,147135,054-231-6799,-,http://phlib.pohang.go.kr/,화~토 09:00 ~ 18:00,"매주 월요일, 일요일 / 법정공휴일",2,작은,공립,2012,37515,1165460.62421263,1802047.67862547,2012,2015,1800,해아작은,PB,11,경상북도 포항시 북구 청하면 덕천리 164-1,청하 해아작은도서관,청하해아작은도서관,N,경상북도,포항시 북구,포항
1831,장량동 다솜작은도서관,경상북도 포항시 북구 장량중앙로 17,36.092047,129.382772,경상북도,포항시 북구,147136,147136,054-252-0016,-,http://phlib.pohang.go.kr/,-,"매주 월요일, 일요일 / 법정공휴일",2,작은,공립,2012,37574,1169501.76834454,1789983.79460176,2012,2015,1800,다솜작은,PC,11,경상북도 포항시 북구 양덕동 336-1,장량 다솜작은도서관,장량다솜작은도서관,N,경상북도,포항시 북구,포항
1832,장량동 햇살작은도서관,경상북도 포항시 북구 양덕로50번길 33,36.08476,129.40569,경상북도,포항시 북구,147137,147137,054-256-0016,-,http://phlib.pohang.go.kr/,-,"매주 월요일, 일요일 / 법정공휴일",2,작은,공립,2012,37591,1171581.10163125,1789215.6119817,2012,2015,1800,햇살작은,PD,11,경상북도 포항시 북구 양덕동 1732,장량 햇살작은도서관,장량햇살작은도서관,N,경상북도,포항시 북구,포항
1833,효곡동 열린작은도서관,경상북도 포항시 남구 효성로 88,36.00493,129.34348,경상북도,포항시 남구,147138,147138,054-272-4434,-,http://phlib.pohang.go.kr/,-,"매주 월요일, 일요일 / 법정공휴일",2,작은,공립,2012,37835,1166147.06060228,1780251.82444805,2012,2015,1800,열린작은,PE,11,경상북도 포항시 남구 효자동 609,효곡 열린작은도서관,효곡열린작은도서관,N,경상북도,포항시 남구,포항
1835,두호동 책이랑바다랑작은도서관,경상북도 포항시 북구 삼호로 260,36.06095,129.38005,경상북도,포항시 북구,147146,147146,070-7730-5119,-,http://phlib.pohang.go.kr/,-,"매주 토요일, 일요일 / 법정공휴일",2,작은,공립,2012,37708,1169323.36699926,1786529.32202455,2012,2015,1800,책이랑바다랑작은,PG,11,경상북도 포항시 북구 두호동 1007 두호동주민센터,책이랑바다랑 작은도서관,책이랑바다랑작은도서관,N,경상북도,포항시 북구,포항
1836,흥해읍 내맏이작은도서관,경상북도 포항시 북구 흥해읍 도음로877번길 9,36.08053,129.32993,경상북도,포항시 북구,147147,147147,054-262-3997,-,http://phlib.pohang.go.kr/,-,"매주 월요일, 일요일 / 법정공휴일",2,작은,공립,2012,37562,1164768.05698251,1788615.33275238,2012,2015,1800,내맏이작은,PH,11,경상북도 포항시 북구 흥해읍 학천리 456,흥해 내맏이작은도서관,흥해내맏이작은도서관,N,경상북도,포항시 북구,포항
1837,흥해읍 어리골작은도서관,경상북도 포항시 북구 흥해읍 달전로 291,36.07046,129.33377,경상북도,포항시 북구,147148,147148,054-262-3996,-,http://phlib.pohang.go.kr/,-,"매주 월요일, 일요일 / 법정공휴일",2,작은,공립,2012,37566,1165134.9100024,1787504.74469793,2012,2015,1800,어리골작은,PI,11,경상북도 포항시 북구 흥해읍 이인리 424,흥해 어리골작은도서관,흥해 어리골작은도서관,N,경상북도,포항시 북구,포항
1838,용흥동 솔개재작은도서관,"경상북도 포항시 북구 대안길 56, 1층(122동 뒷편 우방독서실 내)",36.0431083,129.352425,경상북도,포항시 북구,147154,147154,054-610-1120,-,http://phlib.pohang.go.kr/,-,"매주 월요일, 일요일 / 법정공휴일",2,작은,공립,2013,37650,1166872.77300719,1784502.35340415,2013,2015,1800,솔개재작은,PJ,11,경상북도 포항시 북구 용흥동 366 포항우방타운,용흥 솔개재작은도서관,솔개재작은도서관,N,경상북도,포항시 북구,포항
1839,죽장면 참느리작은도서관,경상북도 포항시 북구 죽장면 죽장로 1759,36.241684,129.215431,경상북도,포항시 북구,147155,147155,054-261-0330,-,http://phlib.pohang.go.kr/,-,"매주 토요일, 일요일 / 법정공휴일",2,작은,공립,2013,37501,1154141.59073444,1806304.67707138,2013,2015,1800,참느리작은,PK,11,경상북도 포항시 북구 죽장면 상옥리 821,죽장 참느리작은도서관,참느리작은도서관,N,경상북도,포항시 북구,포항
1840,장량동 해뜰참작은도서관,경상북도 포항시 북구 새천년대로 1235,36.0749668,129.381851,경상북도,포항시 북구,147156,147156,054-246-0016,-,http://phlib.pohang.go.kr/,-,"매주 월요일, 일요일 / 법정공휴일",2,작은,공립,2013,37584,1169455.51001449,1788087.40319709,2013,2015,1800,해뜰참작은,PL,11,경상북도 포항시 북구 장성동 1612,해뜰참 작은도서관,해뜰참작은도서관,N,경상북도,포항시 북구,포항
1841,포항시립어린이영어도서관,경상북도 포항시 남구 뱃머리길 39,36.006965,129.35568,경상북도,포항시 남구,147157,147157,054-270-4386,054-277-4387,http://phlib.pohang.go.kr/,-,"일요일(매월 첫번째, 세번째 일요일은 개관), 매월 첫번째, 세번째 월요일",1,공공,지자체,2014,37833,1167242.42794264,1780498.44816178,2014,2015,1800,어린이영어,PM,11,경상북도 포항시 남구 상도동 111,포항시립어린이영어도서관,뱃머리마을어린이영어도서관,N,경상북도,포항시 남구,포항
1842,장량동 꿈마루작은도서관,경상북도 포항시 북구 장량중앙로 117,36.0894166,129.395131,경상북도,포항시 북구,747006,747006,054-252-1622,-,http://phlib.pohang.go.kr/,-,"매주 월요일, 일요일 / 법정공휴일",2,작은,공립,2014,37571,1170620.23401456,1789713.61046036,2014,2015,1800,꿈마루작은,PN,11,경상북도 포항시 북구 양덕동 654-1,꿈마루 작은도서관,꿈마루작은도서관,N,경상북도,포항시 북구,포항
1843,흥해읍 참새미작은도서관,경상북도 포항시 북구 흥해읍 달전로 365,36.0761422,129.339163,경상북도,포항시 북구,747005,747005,054-262-3002,-,http://phlib.pohang.go.kr/,-,"매주 월요일, 일요일 / 법정공휴일",2,작은,공립,2014,37566,1165608.69451934,1788144.26113452,2014,2015,1800,참새미작은,PQ,11,경상북도 포항시 북구 흥해읍 성곡리 1161,참새미 작은도서관,참새미작은도서관,N,경상북도,포항시 북구,포항
1844,장량동 바람숲작은도서관,경상북도 포항시 북구 양덕로 60,36.0847418,129.403442,경상북도,포항시 북구,747016,747016,054-251-2531,-,http://phlib.pohang.go.kr/,-,"매주 월요일, 일요일 / 법정공휴일",2,작은,공립,2015,37591,1171378.71674448,1789209.6283641,2015,2015,1800,바람숲작은,ZZ,11,경상북도 포항시 북구 양덕동 1731,장량동 바람숲 작은도서관,바람숲작은도서관,N,경상북도,포항시 북구,포항
1405,부평구립청천도서관,인천광역시 부평구 원길로 23,37.5059306,126.714393,인천광역시,부평구,128085,128085,032-330-9171,032-330-9174,http://www.bppl.or.kr/,"평일(화~금) 1층 어린이자료실 09:00~18:00 , 2층 종합자료실 09:00~22:00 / 주말(토~일) 09:00~18:00",매주 월요일 / 법정공휴일,1,공공,지자체,2013,21363,930565.063094701,1945474.11863945,2013,2015,1400,청천,MF,2,인천광역시 부평구 청천2동 200-59,청천도서관,인천청천도서관,N,인천광역시,부평구,인천
